date,HUFL,HULL,MUFL,MULL,LUFL,LULL,Target
2016-7-1 0:00,41.13000107,12.48099995,36.5359993,9.354999542,4.423999786,1.31099999,38.66199875
2016-7-1 0:15,39.62200165,11.30900002,35.54399872,8.550999641,3.209000111,1.258000016,38.22299957
2016-7-1 0:30,38.86800003,10.55500031,34.36500168,7.585999966,4.434999943,1.258000016,37.34400177
2016-7-1 0:45,35.51800156,9.213999748,32.56900024,8.711999893,4.434999943,1.215000033,37.12400055
2016-7-1 1:00,37.52799988,10.13599968,33.93600082,7.532000065,4.434999943,1.215000033,37.12400055
2016-7-1 1:15,37.61199951,10.30300045,33.2120018,7.532000065,3.913000107,1.300999999,36.90399933
2016-7-1 1:30,36.27199936,9.465999603,32.91699982,7.210999966,3.913000107,0,36.90399933
2016-7-1 1:45,32.75299835,7.874000072,30.71899986,6.272999763,2.099999905,0,36.46500015
2016-7-1 2:00,37.9469986,11.30900002,35.33000183,9.006999969,2.099999905,0,36.46500015
2016-7-1 2:15,38.44900131,11.30900002,35.3030014,9.11400032,3.380000114,0,36.46500015
2016-7-1 2:30,37.86299896,11.3920002,35.25,9.086999893,3.380000114,0,35.80599976
2016-7-1 2:45,38.70100021,11.64400005,35.49100113,9.220999718,3.380000114,1.246999979,34.92699814
2016-7-1 3:00,38.95199966,11.89500046,35.54399872,9.43599987,3.380000114,1.215000033,33.60850143
2016-7-1 3:15,36.60699844,11.14099979,33.29299927,8.711999893,3.380000114,1.215000033,32.94900131
2016-7-1 3:30,38.19800186,11.47599983,35.03499985,9.302000046,3.380000114,0,32.50999832
2016-7-1 3:45,37.44400024,11.30900002,35.65200043,9.704000473,2.036000013,0,32.29000092
2016-7-1 4:00,38.11399841,11.47599983,35.40999985,9.623000145,2.036000013,0,31.85050011
2016-7-1 4:15,34.68000031,9.717000008,31.41600037,7.774000168,3.252000093,0,31.63100052
2016-7-1 4:30,36.85800171,10.63899994,33.72200012,8.524000168,3.252000093,0,31.4109993
2016-7-1 4:45,36.35499954,10.13599968,34.28499985,8.68500042,2.036000013,0,30.97200012
2016-7-1 5:00,36.77399826,10.97399998,34.9280014,9.248000145,2.036000013,0,30.53199959
2016-7-1 5:15,32.92100143,8.711999893,32.51499939,8.175999641,2.036000013,0,30.53199959
2016-7-1 5:30,38.44900131,11.14099979,36.45600128,9.48900032,2.036000013,0,30.75200081
2016-7-1 5:45,39.0359993,11.64400005,37.09899902,9.918000221,2.036000013,0,30.3125
2016-7-1 6:00,39.0359993,11.81099987,37.15299988,10.07900047,2.036000013,0,30.09300041
2016-7-1 6:15,36.94200134,11.05700016,33.9090004,9.06000042,3.476000071,0,29.87299919
2016-7-1 6:30,40.6269989,12.48099995,37.23300171,10.13300037,3.549999952,0,29.87299919
2016-7-1 6:45,38.2820015,11.56000042,36,9.677000046,2.068000078,0,29.87299919
2016-7-1 7:00,39.37099838,11.30900002,36.5359993,9.409000397,2.068000078,0,29.87299919
2016-7-1 7:15,35.18299866,9.465999603,32.35499954,7.639999866,3.28399992,0,29.87299919
2016-7-1 7:30,35.09899902,8.963000298,31.73800087,7.077000141,3.28399992,0,29.87299919
2016-7-1 7:45,34.09400177,8.041999817,30.77300072,6.058000088,3.28399992,0,29.87299919
2016-7-1 8:00,33.92599869,8.461000443,31.89900017,6.486999989,2.015000105,0,29.65299988
2016-7-1 8:15,34.76399994,9.298000336,33.47999954,7.774000168,0,0,29.43350029
2016-7-1 8:30,38.86800003,10.97399998,37.23300171,9.168000221,1.269000053,0,29.43350029
2016-7-1 8:45,38.95199966,11.14099979,37.20600128,9.43599987,1.269000053,0,29.43350029
2016-7-1 9:00,38.44900131,13.90499973,37.28699875,12.14299965,1.269000053,0,29.21349907
2016-7-1 9:15,38.86800003,13.23499966,37.52799988,11.4460001,1.269000053,0,28.1154995
2016-7-1 9:30,36.68999863,12.31400013,35.625,10.72200012,1.269000053,0,27.67550087
